n,tau,RMSE (Nonparametric),RMSE (Parametric),PLR (Nonparametric),PLR (Parametric),RMSE ratio (Nonparametric / Parametric),PLR ratio (Nonparametric / Parametric)
10,0.01,9.715539515152855,6.2122177498041795,0.08635221303536383,0.053409741915718345,1.563940593592217,1.6167876858800287
10,0.05,5.972408305822888,4.899544383147174,0.044791272298333226,0.03737195547628917,1.2189721816514232,1.1985263208062868
10,0.1,6.36121901827659,4.472625375797141,0.044186322958742204,0.03036083451286309,1.422256165852668,1.4553724779871127
10,0.3,4.463283235487901,3.3442461165471316,0.023294385813369928,0.016827406917934374,1.3346156592374705,1.3843122667071868
10,0.5,4.097794181283869,3.240189501873664,0.01619509082984727,0.011723076530598227,1.264677321778337,1.3814710487965087
10,0.7,4.205848475971241,3.368370353705924,0.011413486329217078,0.008194342221864865,1.2486300597390998,1.3928496052755288
10,0.9,5.503998107063503,4.373730357389861,0.008675712368708443,0.005570136372641052,1.2584219092893874,1.5575403882966148
10,0.95,5.82896403262809,4.88218556163242,0.006558327413848011,0.005375941978709663,1.1939251302605347,1.2199401406899382
10,0.99,9.74462152209051,6.219006554201532,0.01046077359424929,0.005415015294530994,1.566909672334577,1.9318086884841053
50,0.01,4.806933469375015,2.7690696578841516,0.04082724455673584,0.023922141685559232,1.7359380814739045,1.7066717977588723
50,0.05,2.8548016261672835,2.1898204554314895,0.022032822329630816,0.016943321895064083,1.3036692661658253,1.3003838601478381
50,0.1,2.551798439899109,1.8506080147872668,0.017759240711456795,0.012956711841813523,1.3788973242896314,1.3706595414235185
50,0.3,1.8618876185869948,1.481755482944626,0.010090000950370227,0.007956424786603055,1.2565417439096964,1.268157648817301
50,0.5,1.8261071597351108,1.4658365111432923,0.0073931480593072375,0.00574262386492242,1.2457781927609528,1.2874163854726215
50,0.7,1.8561428177666428,1.4942647646273421,0.0047138979674429,0.0037470184933972063,1.2421780006500724,1.25803968561924
50,0.9,2.4922423681495145,1.8998978495261023,0.003532651592543798,0.0025533222627938485,1.311777035155423,1.3835510088250145
50,0.95,2.9371904651799903,2.154807223676037,0.0031281538221953707,0.0022978596164252765,1.3630873485606896,1.361333738508257
50,0.99,4.622107996835278,2.7360720193779646,0.0039545462071310985,0.002352708016650737,1.689322490087851,1.6808486982420805
100,0.01,4.777829008877432,1.9052627260122232,0.03878476090290485,0.01631156220282111,2.5077008769691216,2.3777465591981723
100,0.05,2.2294325151905294,1.5379509338813386,0.017003668498567433,0.011934832124775198,1.4496122509995124,1.4247094823621334
100,0.1,1.7170992064992423,1.3367739539920926,0.012123100405762022,0.009452297089447868,1.2845097717316831,1.2825560063379433
100,0.3,1.3189720886727527,1.0802170417708223,0.007011805083526646,0.005849823000765705,1.2210250696568665,1.198635425825507
100,0.5,1.2734018361505863,1.014661630166797,0.004697652778304404,0.003725897302228354,1.2550014687568858,1.2608111274282494
100,0.7,1.3061006230718204,1.0830563992665387,0.0032695332303518602,0.0027296482766310365,1.2059396204632837,1.1977855382844986
100,0.9,1.7103395552903509,1.3369304784108356,0.002424962652877567,0.0019583334127073046,1.2793032868271312,1.2382787512802373
100,0.95,2.1094933854211657,1.5630867369212862,0.0022873622505259253,0.0016437052344519334,1.349568987819641,1.3915890772767472
100,0.99,3.473042705211538,1.8816715232385681,0.003242538410769518,0.0016219420302561304,1.8457220945949382,1.999170346585981
200,0.01,2.989057570267791,1.3544680628213526,0.024725914228005165,0.011773980263477177,2.206812882720611,2.1000471951447732
200,0.05,1.4669182461618129,1.0447619336258978,0.011307762567586237,0.008122705300745466,1.4040693855209683,1.3921177919071446
200,0.1,1.2403876338019684,0.9593433798076513,0.008685359219066768,0.006808664594992946,1.2929548062870528,1.2756332901835012
200,0.3,0.9522994062671845,0.7710608790736584,0.005134398734742046,0.004111779149089803,1.235050865777633,1.2487048911366294
200,0.5,0.8837234992536265,0.6924125898147587,0.0034398737906293185,0.002647428315022706,1.2762961162939703,1.29932650909183
200,0.7,0.9253861601956723,0.7418372608698761,0.0023902963594392506,0.0019847248502192537,1.2474247506933898,1.2043464660480232
200,0.9,1.1832794718444717,0.9478041318669316,0.00156722807565759,0.0012206367725741052,1.2484430401392257,1.283943029466977
200,0.95,1.448877364969028,1.057910631526517,0.0014346407692517706,0.0010150501893106383,1.3695649914004209,1.4133692938140263
200,0.99,2.5875985173817697,1.3680145706946434,0.0022821090057315854,0.0011401467463845259,1.891499237517516,2.001592350255167
